x,y,K,logK,pH,P,logP
40,960,26,1.41497,7.2,5.5,0.74036
40,1000,22,1.34242,7.2,5.2,0.716
40,1040,18,1.25527,6.8,2.6,0.41497
40,1080,19,1.27875,6.4,1.3,0.11394
40,1120,26,1.41497,6.1,1.3,0.11394
40,1160,23,1.36173,6.6,6.9,0.83885
40,1200,32,1.50515,7.8,6.6,0.81954
40,1240,28,1.44716,8,7.8,0.89209
80,760,55,1.74036,6.8,2.6,0.41497
80,920,19,1.27875,6,1,0
80,960,18,1.25527,5.6,0.6,-0.22185
80,1000,17,1.23045,5.5,0.5,-0.30103
80,1040,15,1.17609,5.7,0.4,-0.39794
80,1080,16,1.20412,5.6,0.5,-0.30103
80,1120,19,1.27875,6.4,0.5,-0.30103
80,1160,15,1.17609,6.7,0.7,-0.1549
80,1200,24,1.38021,7.9,7.5,0.87506
80,1240,14,1.14613,8.2,6.6,0.81954
120,40,28,1.44716,8.2,4.2,0.62325
120,80,26,1.41497,8.2,7.5,0.87506
120,120,23,1.36173,8.2,5.1,0.70757
120,160,21,1.32222,8.2,4,0.60206
120,200,22,1.34242,8,5.3,0.72428
120,240,22,1.34242,8.3,4.8,0.68124
120,280,24,1.38021,8.3,4.8,0.68124
120,320,41,1.61278,8.2,4,0.60206
120,360,30,1.47712,7.8,4.6,0.66276
120,400,20,1.30103,7.7,2.6,0.41497
120,440,22,1.34242,7.6,14.5,1.16137
120,720,22,1.34242,6.8,3.4,0.53148
120,760,26,1.41497,8,9.5,0.97772
120,920,16,1.20412,7.2,2.7,0.43136
120,960,18,1.25527,6.9,2.5,0.39794
120,1000,15,1.17609,7.3,2.2,0.34242
120,1040,16,1.20412,6.9,1,0
120,1080,15,1.17609,7,1.2,0.07918
120,1120,16,1.20412,7.4,1,0
120,1160,14,1.14613,7.4,1.3,0.11394
120,1200,20,1.30103,8,6,0.77815
120,1240,15,1.17609,8.2,8.4,0.92428
120,480,70,1.8451,7.8,12.4,1.09342
120,520,20,1.30103,7.6,3.9,0.59106
120,560,22,1.34242,7.5,2,0.30103
160,80,24,1.38021,8.2,6.7,0.82607
160,120,23,1.36173,8.3,6.9,0.83885
160,160,20,1.30103,8.4,4.5,0.65321
160,200,24,1.38021,8.3,3.7,0.5682
160,240,20,1.30103,8.5,4.6,0.66276
160,280,20,1.30103,8.4,3.8,0.57978
160,320,34,1.53148,8.2,2.4,0.38021
160,400,18,1.25527,7.4,1.5,0.17609
160,440,18,1.25527,7.7,3.5,0.54407
160,480,21,1.32222,8,5.7,0.75587
160,520,18,1.25527,8.4,1.6,0.20412
160,560,22,1.34242,8,2.4,0.38021
160,600,28,1.44716,6.6,1.6,0.20412
160,640,25,1.39794,7.7,1.8,0.25527
160,680,28,1.44716,7.2,1.7,0.23045
160,720,24,1.38021,7.6,4.6,0.66276
160,760,23,1.36173,7.6,5.5,0.74036
160,920,16,1.20412,7.2,2.5,0.39794
160,960,18,1.25527,7.2,1.7,0.23045
160,1000,17,1.23045,7.6,3.5,0.54407
160,1040,16,1.20412,7.4,2.1,0.32222
160,1080,19,1.27875,7.6,3.6,0.5563
160,1120,21,1.32222,7.4,4,0.60206
160,1160,13,1.11394,7.7,2.9,0.4624
160,1200,15,1.17609,8,3.8,0.57978
160,1240,15,1.17609,8.2,6.2,0.79239
200,160,24,1.38021,8.3,4.6,0.66276
200,200,23,1.36173,8.4,4.2,0.62325
200,240,22,1.34242,8.3,3,0.47712
200,280,25,1.39794,8.4,5.7,0.75587
200,360,19,1.27875,6.6,0.8,-0.09691
200,400,20,1.30103,6.2,1.3,0.11394
200,440,19,1.27875,7.2,3,0.47712
200,480,20,1.30103,8,4.2,0.62325
200,520,16,1.20412,8.2,2.6,0.41497
200,560,16,1.20412,7.8,2,0.30103
200,600,20,1.30103,7.7,3.5,0.54407
200,640,28,1.44716,7.8,1.3,0.11394
200,680,21,1.32222,8,1.4,0.14613
200,720,28,1.44716,7.9,6.6,0.81954
200,760,24,1.38021,7.8,5.2,0.716
200,920,18,1.25527,7.4,3.5,0.54407
200,960,15,1.17609,7.6,3.1,0.49136
200,1000,14,1.14613,7.4,3,0.47712
200,1040,15,1.17609,7.4,3.6,0.5563
200,1080,19,1.27875,7.4,4.6,0.66276
200,1120,20,1.30103,7.9,3.5,0.54407
200,1160,15,1.17609,8.2,3.5,0.54407
200,1200,14,1.14613,8.1,4.5,0.65321
200,1240,16,1.20412,8.2,6.3,0.79934
240,200,28,1.44716,8.3,4.6,0.66276
240,240,22,1.34242,8.4,3.2,0.50515
240,280,26,1.41497,8.3,2.9,0.4624
240,320,27,1.43136,8,1.8,0.25527
240,360,19,1.27875,7.4,1.2,0.07918
240,400,19,1.27875,7.1,1.6,0.20412
240,440,15,1.17609,6.6,1.4,0.14613
240,480,19,1.27875,7.7,3.8,0.57978
240,520,18,1.25527,8.2,3.7,0.5682
240,560,20,1.30103,7.9,4.4,0.64345
240,600,19,1.27875,8,4.8,0.68124
240,640,27,1.43136,7.8,2.6,0.41497
240,680,29,1.4624,8,2.5,0.39794
240,720,35,1.54407,8.1,14.8,1.17026
240,760,25,1.39794,7.8,5.2,0.716
240,920,16,1.20412,7.8,1.5,0.17609
240,960,14,1.14613,6.8,1.1,0.04139
240,1000,15,1.17609,6.6,1.5,0.17609
240,1040,16,1.20412,6.5,1.2,0.07918
240,1080,16,1.20412,6.6,2.3,0.36173
240,1120,16,1.20412,7.6,3.5,0.54407
240,1160,16,1.20412,8.2,5.1,0.70757
240,1200,15,1.17609,8.1,4.5,0.65321
280,280,24,1.38021,8.4,5.5,0.74036
280,320,24,1.38021,7.9,1.4,0.14613
280,360,24,1.38021,7.4,1,0
280,400,23,1.36173,7.6,2.4,0.38021
280,440,22,1.34242,7.8,3.7,0.5682
280,480,16,1.20412,7.2,1.6,0.20412
280,520,19,1.27875,7.8,4.8,0.68124
280,560,16,1.20412,7.6,2.1,0.32222
280,600,20,1.30103,8,4.8,0.68124
280,640,18,1.25527,7.8,2.1,0.32222
280,680,27,1.43136,7.9,1.1,0.04139
280,720,58,1.76343,8.1,3.9,0.59106
280,760,24,1.38021,8,3.5,0.54407
280,920,18,1.25527,6.8,2.1,0.32222
280,960,14,1.14613,6.9,1.5,0.17609
280,1000,17,1.23045,6.6,1.5,0.17609
280,1040,17,1.23045,6.2,1.3,0.11394
280,1080,14,1.14613,6.6,1.8,0.25527
280,1120,18,1.25527,6.6,3.4,0.53148
280,1160,15,1.17609,7.8,5.4,0.73239
280,1200,28,1.44716,8.4,5.1,0.70757
320,280,24,1.38021,8.2,4.9,0.6902
320,320,23,1.36173,7.9,1.8,0.25527
320,360,24,1.38021,7.5,2,0.30103
320,400,21,1.32222,7.1,1.8,0.25527
320,440,16,1.20412,6.6,1.6,0.20412
320,480,23,1.36173,6.8,1.6,0.20412
320,520,20,1.30103,7.7,4.5,0.65321
320,560,26,1.41497,7.5,2,0.30103
320,600,18,1.25527,7,2.2,0.34242
320,640,25,1.39794,6.7,1.2,0.07918
320,680,20,1.30103,6.5,1.1,0.04139
320,720,44,1.64345,7.2,2.8,0.44716
320,760,24,1.38021,8,4.4,0.64345
320,920,53,1.72428,7.4,6.9,0.83885
320,960,12,1.07918,7.2,1.1,0.04139
320,1000,12,1.07918,6.8,1.6,0.20412
320,1040,15,1.17609,7.2,3.2,0.50515
320,1080,15,1.17609,7.4,5,0.69897
320,1120,16,1.20412,7.1,2.1,0.32222
320,1160,18,1.25527,7.4,2.7,0.43136
320,1200,21,1.32222,8.2,6.2,0.79239
360,160,24,1.38021,8.2,11.1,1.04532
360,200,20,1.30103,8.1,5,0.69897
360,240,20,1.30103,8.2,3.8,0.57978
360,280,18,1.25527,8.2,4.2,0.62325
360,320,20,1.30103,7.8,2.1,0.32222
360,360,24,1.38021,7.9,2.3,0.36173
360,400,18,1.25527,7,2.6,0.41497
360,440,23,1.36173,6.4,2.2,0.34242
360,480,32,1.50515,7.6,2.3,0.36173
360,520,33,1.51851,8,5.4,0.73239
360,560,27,1.43136,8.2,1.8,0.25527
360,600,32,1.50515,8.2,1.4,0.14613
360,640,27,1.43136,7.1,3.1,0.49136
360,680,26,1.41497,6.6,2.4,0.38021
360,720,54,1.73239,6.7,2.8,0.44716
360,760,38,1.57978,7.8,13.5,1.13033
360,800,58,1.76343,7.1,16.5,1.21748
360,880,96,1.98227,7.2,12.9,1.11059
360,920,23,1.36173,7.5,2.5,0.39794
360,960,17,1.23045,7.2,1.1,0.04139
360,1000,18,1.25527,6.3,1.5,0.17609
360,1040,20,1.30103,6.6,2.3,0.36173
360,1080,18,1.25527,6.6,2,0.30103
360,1120,17,1.23045,6.6,1.6,0.20412
360,1160,21,1.32222,7.8,2.6,0.41497
360,1200,23,1.36173,8.2,5.1,0.70757
400,80,33,1.51851,8,5.4,0.73239
400,120,24,1.38021,8.1,10.5,1.02119
400,160,20,1.30103,8,12.4,1.09342
400,200,18,1.25527,8.2,8.1,0.90849
400,240,19,1.27875,8.3,6,0.77815
400,280,21,1.32222,8.1,4.8,0.68124
400,320,20,1.30103,7.4,2.6,0.41497
400,360,21,1.32222,8,2.6,0.41497
400,400,20,1.30103,7.8,2.4,0.38021
400,440,23,1.36173,7.7,2.3,0.36173
400,480,31,1.49136,8.2,3.5,0.54407
400,520,27,1.43136,8,1.8,0.25527
400,560,29,1.4624,8.2,5.5,0.74036
400,600,30,1.47712,8.1,3.5,0.54407
400,640,21,1.32222,8.1,1.6,0.20412
400,680,24,1.38021,7.8,5.1,0.70757
400,720,60,1.77815,8,4.5,0.65321
400,760,20,1.30103,7,3.6,0.5563
400,800,24,1.38021,8,3.4,0.53148
400,840,30,1.47712,7.6,6,0.77815
400,880,32,1.50515,7.4,6.4,0.80618
400,920,29,1.4624,7.2,3.1,0.49136
400,960,25,1.39794,7,2.2,0.34242
400,1000,21,1.32222,7.3,2.9,0.4624
400,1040,28,1.44716,6.2,2.5,0.39794
400,1080,35,1.54407,5.9,1.6,0.20412
400,1120,20,1.30103,7.4,3.1,0.49136
400,1160,21,1.32222,7.8,2.9,0.4624
400,1200,24,1.38021,8.2,4.6,0.66276
440,80,36,1.5563,8,5.5,0.74036
440,120,29,1.4624,8.2,29.1,1.46389
440,160,24,1.38021,8.2,24,1.38021
440,200,26,1.41497,8.2,14.4,1.15836
440,240,22,1.34242,8.2,9,0.95424
440,280,20,1.30103,8.1,6.1,0.78533
440,320,20,1.30103,7.8,2.7,0.43136
440,360,23,1.36173,7.8,2.9,0.4624
440,400,24,1.38021,7.4,2.4,0.38021
440,440,26,1.41497,7.7,2.2,0.34242
440,480,30,1.47712,8.1,0.9,-0.04576
440,520,42,1.62325,7.9,2.9,0.4624
440,560,38,1.57978,8.2,6.3,0.79934
440,600,42,1.62325,8.2,2.8,0.44716
440,640,38,1.57978,8.1,1.6,0.20412
440,680,40,1.60206,8.2,2.6,0.41497
440,720,38,1.57978,8.2,6.8,0.83251
440,760,25,1.39794,8,4.1,0.61278
440,800,24,1.38021,7.2,5.2,0.716
440,840,34,1.53148,8,6.9,0.83885
440,880,25,1.39794,7.4,6,0.77815
440,920,20,1.30103,7.4,3.6,0.5563
440,960,21,1.32222,6.5,1.6,0.20412
440,1000,22,1.34242,6.4,1.6,0.20412
440,1040,25,1.39794,6.6,2.2,0.34242
440,1080,20,1.30103,6.4,2.1,0.32222
440,1120,27,1.43136,6.1,2,0.30103
440,1160,27,1.43136,8.1,3.8,0.57978
440,1200,19,1.27875,8.3,4.2,0.62325
480,80,32,1.50515,8,32.9,1.5172
480,120,27,1.43136,8.1,35,1.54407
480,160,28,1.44716,8.2,27,1.43136
480,200,23,1.36173,8.1,17.1,1.233
480,240,22,1.34242,8.2,8.4,0.92428
480,280,20,1.30103,8,6,0.77815
480,320,21,1.32222,8.3,2.4,0.38021
480,360,23,1.36173,8,2.7,0.43136
480,400,24,1.38021,7.8,2.3,0.36173
480,440,20,1.30103,8,2.6,0.41497
480,480,29,1.4624,8,1.1,0.04139
480,520,42,1.62325,8,1,0
480,560,36,1.5563,8.3,4.5,0.65321
480,600,42,1.62325,8.2,1.3,0.11394
480,640,37,1.5682,8.1,1.4,0.14613
480,680,33,1.51851,8.3,4.5,0.65321
480,720,35,1.54407,8,3,0.47712
480,760,32,1.50515,8.2,3.6,0.5563
480,800,30,1.47712,8,12.1,1.08279
480,840,27,1.43136,7.9,1.2,0.07918
480,880,27,1.43136,6.7,3.9,0.59106
480,920,19,1.27875,7.8,2.5,0.39794
480,960,21,1.32222,7.1,2.9,0.4624
480,1000,32,1.50515,6.3,2.1,0.32222
480,1040,30,1.47712,5.9,1.7,0.23045
480,1080,27,1.43136,6,1,0
480,1120,27,1.43136,6.8,1.8,0.25527
480,1160,28,1.44716,8.2,3.5,0.54407
480,1200,20,1.30103,8.3,3.6,0.5563
520,80,38,1.57978,8,30,1.47712
520,120,26,1.41497,8.1,49,1.6902
520,160,24,1.38021,8,32.4,1.51055
520,200,28,1.44716,8.3,4,0.60206
520,240,28,1.44716,8.4,1.2,0.07918
520,280,27,1.43136,8.3,3,0.47712
520,320,29,1.4624,8.3,1.4,0.14613
520,360,27,1.43136,8.3,4.2,0.62325
520,400,33,1.51851,8.1,1.2,0.07918
520,440,36,1.5563,8.1,1.6,0.20412
520,480,27,1.43136,8.1,5.4,0.73239
520,520,24,1.38021,8,2.1,0.32222
520,560,27,1.43136,8.4,3.1,0.49136
520,600,33,1.51851,8.2,1.6,0.20412
520,640,40,1.60206,8.1,3.3,0.51851
520,680,41,1.61278,8.1,4.8,0.68124
520,720,36,1.5563,7.5,3.1,0.49136
520,760,24,1.38021,8,2.9,0.4624
520,800,25,1.39794,7.1,6.8,0.83251
520,840,24,1.38021,6.6,2.9,0.4624
520,880,28,1.44716,7.8,5.3,0.72428
520,920,26,1.41497,7.8,5.1,0.70757
520,960,25,1.39794,7.8,7.5,0.87506
520,1000,20,1.30103,7.9,7.5,0.87506
520,1040,23,1.36173,7.9,6.3,0.79934
520,1080,22,1.34242,7.8,5.4,0.73239
520,1120,32,1.50515,8,6,0.77815
520,1160,29,1.4624,8.3,3.4,0.53148
520,1200,19,1.27875,8.4,3.8,0.57978
560,80,54,1.73239,7.9,25.3,1.40312
560,120,42,1.62325,8,21,1.32222
560,160,41,1.61278,8.1,19.2,1.2833
560,200,37,1.5682,8.4,2.2,0.34242
560,240,35,1.54407,8.4,1.5,0.17609
560,280,33,1.51851,8.1,1,0
560,320,39,1.59106,8.3,1.1,0.04139
560,360,53,1.72428,8.3,2,0.30103
560,400,42,1.62325,7.8,1.9,0.27875
560,440,28,1.44716,7.9,1.5,0.17609
560,480,27,1.43136,8,2.2,0.34242
560,520,26,1.41497,8,1,0
560,560,26,1.41497,8.5,4.2,0.62325
560,600,42,1.62325,8.5,4.5,0.65321
560,640,38,1.57978,8.1,6.9,0.83885
560,680,36,1.5563,8,7.5,0.87506
560,720,31,1.49136,7.8,3.6,0.5563
560,800,20,1.30103,7,3.1,0.49136
560,840,26,1.41497,6.9,3,0.47712
560,880,26,1.41497,7.9,5.2,0.716
560,920,23,1.36173,8,6.1,0.78533
560,960,28,1.44716,7.9,6.4,0.80618
560,1000,20,1.30103,8,10.6,1.02531
560,1040,19,1.27875,8,6,0.77815
560,1080,24,1.38021,8.2,8.7,0.93952
560,1120,34,1.53148,7.7,5.2,0.716
560,1160,29,1.4624,8.4,3.5,0.54407
560,1200,18,1.25527,8.5,2,0.30103
600,80,41,1.61278,8.2,12,1.07918
600,120,30,1.47712,8.1,7.2,0.85733
600,160,30,1.47712,8,8.9,0.94939
600,200,35,1.54407,8.3,2.2,0.34242
600,240,33,1.51851,8.3,1.3,0.11394
600,280,26,1.41497,8.3,0.7,-0.1549
600,320,27,1.43136,8.2,3.2,0.50515
600,360,41,1.61278,8.3,1.5,0.17609
600,400,33,1.51851,8,0.8,-0.09691
600,440,36,1.5563,8,1.2,0.07918
600,480,27,1.43136,8.1,2.7,0.43136
600,520,28,1.44716,8,2.1,0.32222
600,560,32,1.50515,8.4,6.6,0.81954
600,600,39,1.59106,8.3,5.4,0.73239
600,640,39,1.59106,8.1,5.4,0.73239
600,680,39,1.59106,8,8.1,0.90849
600,720,27,1.43136,8.1,4.3,0.63347
600,800,20,1.30103,6,4.7,0.6721
600,840,26,1.41497,6.2,2.1,0.32222
600,880,28,1.44716,8,8,0.90309
600,920,23,1.36173,8,9,0.95424
600,960,27,1.43136,7.9,9.8,0.99123
600,1000,24,1.38021,7.8,8.1,0.90849
600,1040,32,1.50515,8,14,1.14613
600,1080,32,1.50515,8,11.1,1.04532
600,1120,44,1.64345,7.5,20.4,1.30963
600,1160,28,1.44716,8.5,3.8,0.57978
600,1200,18,1.25527,8.4,3.2,0.50515
640,120,39,1.59106,8.2,4.7,0.6721
640,160,38,1.57978,8.2,5.8,0.76343
640,200,32,1.50515,8.2,2.5,0.39794
640,240,30,1.47712,8.2,0.7,-0.1549
640,280,28,1.44716,8.3,0.7,-0.1549
640,320,28,1.44716,8.4,1,0
640,360,35,1.54407,8.4,2.2,0.34242
640,400,28,1.44716,8.2,1.2,0.07918
640,440,24,1.38021,8,1.6,0.20412
640,480,29,1.4624,7.9,2.9,0.4624
640,520,26,1.41497,8.2,2.5,0.39794
640,560,31,1.49136,8.4,10.5,1.02119
640,600,31,1.49136,8.3,10.2,1.0086
640,640,36,1.5563,8.2,5.4,0.73239
640,680,34,1.53148,8.1,5.3,0.72428
640,720,31,1.49136,8.1,5,0.69897
640,800,24,1.38021,5.8,3.1,0.49136
640,840,25,1.39794,6.2,2.5,0.39794
640,880,31,1.49136,7.8,7.2,0.85733
640,920,26,1.41497,8,6.8,0.83251
640,960,25,1.39794,7.8,2.3,0.36173
640,1000,35,1.54407,7.5,11.4,1.0569
640,1040,31,1.49136,8,12,1.07918
640,1080,28,1.44716,7.9,7.8,0.89209
640,1120,25,1.39794,8,8.1,0.90849
640,1160,24,1.38021,8.5,3.8,0.57978
640,1200,19,1.27875,8.4,3.6,0.5563
680,120,38,1.57978,8.2,3.2,0.50515
680,160,41,1.61278,8.2,2.6,0.41497
680,200,30,1.47712,8.2,1.8,0.25527
680,240,28,1.44716,8.2,0.9,-0.04576
680,280,39,1.59106,8.3,1.1,0.04139
680,320,33,1.51851,8.4,2.3,0.36173
680,360,29,1.4624,8.3,3.6,0.5563
680,400,25,1.39794,8.2,0.9,-0.04576
680,440,38,1.57978,8,4.3,0.63347
680,480,23,1.36173,8,3.4,0.53148
680,520,26,1.41497,8.1,2.5,0.39794
680,560,28,1.44716,8.4,12.5,1.09691
680,600,29,1.4624,8.2,12,1.07918
680,640,38,1.57978,8.1,5.1,0.70757
680,680,38,1.57978,8.2,7.2,0.85733
680,720,28,1.44716,6.8,3,0.47712
680,800,24,1.38021,6,4.2,0.62325
680,840,25,1.39794,6.2,2.7,0.43136
680,880,28,1.44716,7.6,6.1,0.78533
680,920,24,1.38021,7.8,4.6,0.66276
680,960,29,1.4624,8,6.1,0.78533
680,1000,19,1.27875,7.8,8.4,0.92428
680,1040,22,1.34242,8,7.5,0.87506
680,1080,29,1.4624,8,6,0.77815
680,1120,39,1.59106,7.8,7.5,0.87506
680,1160,24,1.38021,8.4,3.2,0.50515
720,120,39,1.59106,7.9,12.1,1.08279
720,160,38,1.57978,8.2,8.7,0.93952
720,200,36,1.5563,8.2,4.7,0.6721
720,240,33,1.51851,8.2,2.2,0.34242
720,280,28,1.44716,8.4,2.9,0.4624
720,320,27,1.43136,8.4,3.6,0.5563
720,360,26,1.41497,8.2,4.2,0.62325
720,400,28,1.44716,8.2,3,0.47712
720,440,31,1.49136,8.1,6.6,0.81954
720,480,29,1.4624,7.9,6.3,0.79934
720,520,24,1.38021,8,7.2,0.85733
720,560,29,1.4624,8.4,13.5,1.13033
720,600,30,1.47712,8,5.7,0.75587
720,640,35,1.54407,8.3,9.1,0.95904
720,720,38,1.57978,7.6,7.5,0.87506
720,800,29,1.4624,6.1,2,0.30103
720,840,30,1.47712,6.8,6,0.77815
720,880,23,1.36173,8.2,6.4,0.80618
720,920,23,1.36173,7.6,5.1,0.70757
720,960,29,1.4624,8.1,6.8,0.83251
720,1000,29,1.4624,7.9,9,0.95424
720,1040,23,1.36173,7.9,7.5,0.87506
720,1080,20,1.30103,8,6.6,0.81954
720,1160,36,1.5563,8.6,5.4,0.73239
