X,Y,Thk,n,k
12100,8300,39.8475,14.3943,0.8475
5300,8700,36.8932,15.5491,
3500,13900,28.3332,13.9709,
5100,1900,36.0994,12.4831,0.6194
9900,13700,37.8365,17.0513,
2900,900,33.213,15.3488,6.2776
7900,6700,31.2461,14.9281,
16900,4900,41.4854,12.3598,
18700,1500,41.6986,13.4467,0.946
2700,2100,32.166,15.3105,
10700,5100,37.616,15.5989,2.5695
7500,12900,31.8502,14.7343,3.6417
5500,11100,32.5953,12.2241,0.422
9500,9100,36.7878,16.2102,1.5122
15300,3100,37.9197,14.0132,1.0504
4700,9700,35.716,11.7776,0.4079
16700,15700,36.7353,16.3497,5.7328
19500,9700,44.3391,15.728,1.8492
16900,13100,38.6605,14.5033,
900,3700,31.8682,14.6784,
500,11900,29.638,14.5282,
9100,1300,37.768,14.8731,2.1447
9100,13700,36.0904,17.1863,16.0718
9900,12900,38.701,15.4723,
6300,100,36.296,14.9066,1.9367
3700,5100,38.9924,15.125,
16300,900,40.9079,12.1743,0.5942
18300,13500,39.3522,13.6414,
9500,6900,33.9694,14.2402,0.8867
17900,3100,41.0463,12.7197,0.5127
9900,15500,33.8508,17.0104,
7100,8900,34.7327,13.4896,
19300,7100,40.0438,15.5601,
2300,5700,33.6568,16.4395,6.2181
7300,8900,34.8931,13.3574,
13900,3700,41.2447,15.6548,
8500,10100,36.1108,14.9056,
8100,8700,35.3019,14.376,0.949
14700,11900,39.3628,14.0186,
6300,2300,36.3149,12.3999,
11900,12900,39.4716,14.7101,
18100,7100,39.9363,16.1841,
11300,7100,38.4845,13.9489,
12500,3100,40.5707,12.8842,
2700,12700,28.9456,15.4206,
2700,4300,35.1625,14.6637,
8500,11300,34.9117,13.4249,1.0335
1500,900,29.6392,16.0098,2.6377
7300,1300,33.7008,13.5977,1.4193
10700,4100,36.4811,15.062,
7100,1900,34.6401,13.27,0.7969
3900,8500,37.356,15.036,2.0396
17100,6100,40.1294,13.7029,
14100,10100,38.6977,14.033,1.0686
11500,4900,40.723,16.0288,2.5648
13300,15700,37.2769,16.0574,2.4808
1900,12100,29.3555,15.4869,1.5528
15100,2900,37.6275,13.714,
6500,900,35.173,14.3237,
8900,6100,31.9948,13.337,
4500,2300,36.0284,13.1674,0.8338
12900,10300,38.3338,11.9921,0.5348
10900,5700,37.8295,14.5867,
3500,700,34.7916,14.8368,5.0723
16300,3700,39.2246,13.9419,0.8931
900,5100,31.4755,14.8357,3.0458
12900,12900,39.0248,14.7492,
15300,9300,38.0644,14.7202,2.0197
7300,6900,31.2622,15.9992,
16300,12500,38.1545,13.7741,
100,8900,31.9871,13.1248,
1700,11700,29.8949,14.1906,
17500,11100,40.5001,12.6465,
14900,8300,39.2964,15.2854,0.9963
8300,10900,34.7179,13.4687,
4100,14500,27.7983,14.1511,
11100,15300,35.3466,16.673,9.2521
500,4900,31.7626,15.4612,
13100,1500,36.7495,14.2049,1.6343
18900,1700,41.9553,14.5276,1.686
3500,7500,37.0727,13.958,1.7514
3700,6900,37.313,13.2041,
14500,13300,38.5234,15.0089,2.4693
4900,9100,36.8062,14.5017,
9700,5700,33.2559,15.0543,1.2109