Species.Name,Order,Class,Length,Extinct
Comelicothyris recticardinis,Athyridida,Rhynchonellata,23,1
Janiceps cadorica,Athyridida,Rhynchonellata,23,1
Janiceps cadorica,Athyridida,Rhynchonellata,23.1,1
Martinia rupicola,Spiriferida,Rhynchonellata,23.1,1
Comelicothyris recticardinis,Athyridida,Rhynchonellata,23.6,1
Gruntea grunti,Athyridida,Rhynchonellata,23.61,1
Cleiothyridina accoliformis,Athyridida,Rhynchonellata,24,1
Orthotichia derbyi,Orthida,Rhynchonellata,24,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,24,1
Martinia rupicola,Spiriferida,Rhynchonellata,24.3,1
Pseudolabaia tumita,Terebratulida,Rhynchonellata,24.3,1
Gruntea grunti,Athyridida,Rhynchonellata,24.33,1
Cleiothyridina accoliformis,Athyridida,Rhynchonellata,24.5,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,24.5,1
Martinia rupicola,Spiriferida,Rhynchonellata,24.7,1
Rhipidomella hessensis,Orthida,Rhynchonellata,24.7,1
Araxathyris protea,Athyridida,Rhynchonellata,25,1
Hoskingia prolonga,Terebratulida,Rhynchonellata,25,1
Maorielasma callosum,Terebratulida,Rhynchonellata,25,1
Martiniopsis inflata,Spiriferida,Rhynchonellata,25,1
Permophricodothyris postgrandis,Spiriferida,Rhynchonellata,25,1
Pseudolabaia tumita,Terebratulida,Rhynchonellata,25,1
Pteroplecta sulcata,Spiriferida,Rhynchonellata,25,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,25,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,25,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,25,1
Janiceps cadorica,Athyridida,Rhynchonellata,25.3,1
Comelicothyris recticardinis,Athyridida,Rhynchonellata,25.5,1
Janiceps cadorica,Athyridida,Rhynchonellata,25.6,1
Comelicothyris laterosulcata,Athyridida,Rhynchonellata,25.8,1
Pseudolabaia tumita,Terebratulida,Rhynchonellata,25.8,1
Janiceps papilio,Athyridida,Rhynchonellata,25.9,1
Cleiothyridina echidniformis,Athyridida,Rhynchonellata,26,1
Enteletella nikschitchi,Orthida,Rhynchonellata,26,1
Ingelarella parallela,Spiriferida,Rhynchonellata,26,1
Maorielasma campbelli,Terebratulida,Rhynchonellata,26,1
Araxathyris felina,Athyridida,Rhynchonellata,26.3,1
Comelicothyris recticardinis,Athyridida,Rhynchonellata,26.4,1
Janiceps cadorica,Athyridida,Rhynchonellata,26.4,1
Martinia periquadrata,Spiriferida,Rhynchonellata,26.4,1
Permophricodothyris iranica,Spiriferida,Rhynchonellata,26.5,1
Araxathyris protea,Athyridida,Rhynchonellata,26.6,1
Rectambitus subpentangulatus,Athyridida,Rhynchonellata,26.6,1
Janiceps cadorica,Athyridida,Rhynchonellata,26.7,1
Martinia rupicola,Spiriferida,Rhynchonellata,26.8,1
Enteletes lateroplicatus,Orthida,Rhynchonellata,27,1
Hoskingia dieneri,Terebratulida,Rhynchonellata,27,1
Ingelarella parallela,Spiriferida,Rhynchonellata,27,1
Ingelarella parallela,Spiriferida,Rhynchonellata,27,1
Janiceps cadorica,Athyridida,Rhynchonellata,27,1
Pseudolabaia difforma,Terebratulida,Rhynchonellata,27,1
Pteroplecta laminatus,Spiriferida,Rhynchonellata,27,1
Spirigerella media,Athyridida,Rhynchonellata,27,1
Composita mexicana,Athyridida,Rhynchonellata,27.1,1
Comelicothyris recticardinis,Athyridida,Rhynchonellata,27.2,1
Janiceps papilio,Athyridida,Rhynchonellata,27.2,1
Ambikella undulosina,Spiriferida,Rhynchonellata,27.5,1
Fredericksolasma nummulus,Terebratulida,Rhynchonellata,27.5,1
Pseudolabaia costalliformis,Terebratulida,Rhynchonellata,27.9,1
Janiceps bipartita,Athyridida,Rhynchonellata,28.5,1
Comelicothyris laterosulcata,Athyridida,Rhynchonellata,28.6,1
Cleiothyridina pijaensis,Athyridida,Rhynchonellata,29,1
Janiceps papilio,Athyridida,Rhynchonellata,29.4,1
Hoskingia dieneri,Terebratulida,Rhynchonellata,29.5,1
Permophricodothyris squamularioides,Spiriferida,Rhynchonellata,29.6,1
Cleiothyridina accoliformis,Athyridida,Rhynchonellata,30,1
Ingelarella parallela,Spiriferida,Rhynchonellata,30,1
Squamularia umbonalis,Spiriferida,Rhynchonellata,30,1
Peltichia ruzhencevi,Orthida,Rhynchonellata,30.2,1
Spirigerella fusiformis,Athyridida,Rhynchonellata,30.5,1
Araxathyris protea,Athyridida,Rhynchonellata,30.8,1
Cleiothyridina subexpansa,Athyridida,Rhynchonellata,31,1
Ingelarella parallela,Spiriferida,Rhynchonellata,31,1
Araxathyris felina,Athyridida,Rhynchonellata,32,1
Araxathyris protea,Athyridida,Rhynchonellata,32,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,32,1
Enteletes acuteplicatus,Orthida,Rhynchonellata,33,1
Ingelarella parallela,Spiriferida,Rhynchonellata,33,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,33,1
Permophricodothyris waageni,Spiriferida,Rhynchonellata,33.1,1
Pseudolabaia tumita,Terebratulida,Rhynchonellata,34,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,34,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,34,1
Permophricodothyris iranica,Spiriferida,Rhynchonellata,34.6,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,35,1
Spiriferella sinica,Spiriferida,Rhynchonellata,35,1
Comelicania merlai,Athyridida,Rhynchonellata,35.6,1
Peltichia ruzhencevi,Orthida,Rhynchonellata,35.7,1
Cleiothyridina accoliformis,Athyridida,Rhynchonellata,36,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,36,1
Comelicothyris recticardinis,Athyridida,Rhynchonellata,36.6,1
Cleiothyridina pijaensis,Athyridida,Rhynchonellata,37,1
Permophricodothyris postgrandis,Spiriferida,Rhynchonellata,37,1
Tongzithyris extensa,Athyridida,Rhynchonellata,37.6,1
Tongzithyris sichuanensis,Athyridida,Rhynchonellata,38,1
Cleiothyridina accoliformis,Athyridida,Rhynchonellata,38.5,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,38.9,1
Spiriferella sinica,Spiriferida,Rhynchonellata,38.9,1
Janiceps bipartita,Athyridida,Rhynchonellata,39,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,39.9,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,40,1
Syrella plodowskii,Spiriferinida,Rhynchonellata,40,1
Peltichia ruzhencevi,Orthida,Rhynchonellata,40.3,1
Comelicania merlai,Athyridida,Rhynchonellata,41,1
Comelicania merlai,Athyridida,Rhynchonellata,41,1
Permophricodothyris ovata,Spiriferida,Rhynchonellata,41,1
Peltichia transversa,Orthida,Rhynchonellata,41.5,1
Permophricodothyris iranica,Spiriferida,Rhynchonellata,42,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,42,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,42,1
Martiniopsis inflata,Spiriferida,Rhynchonellata,43,1
Permophricodothyris caroli,Spiriferida,Rhynchonellata,44,1
Permophricodothyris postgrandis,Spiriferida,Rhynchonellata,44,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,44,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,44,1
Spiriferella sinica,Spiriferida,Rhynchonellata,45,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,46,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,46,1
Comelicania merlai,Athyridida,Rhynchonellata,46.2,1
Comelicania merlai,Athyridida,Rhynchonellata,47,1
Martiniopsis inflata,Spiriferida,Rhynchonellata,47,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,48,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,49,1
Permophricodothyris postgrandis,Spiriferida,Rhynchonellata,50,1
Permophricodothyris ovata,Spiriferida,Rhynchonellata,50.5,1
Tongzithyris extensa,Athyridida,Rhynchonellata,51.3,1
Peltichia kwangtungensis,Orthida,Rhynchonellata,52,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,54,1
Permophricodothyris iranica,Spiriferida,Rhynchonellata,54.6,1
Hoskingia dieneri,Terebratulida,Rhynchonellata,55,1
Marinurnula(?) chivatschense,Terebratulida,Rhynchonellata,57,1
Permophricodothyris postgrandis,Spiriferida,Rhynchonellata,60,1
Permophricodothyris ovata,Spiriferida,Rhynchonellata,62,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,63,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,64,1
Permophricodothyris inaequilateralis,Spiriferida,Rhynchonellata,66.4,1
Spiriferella nepalensis,Spiriferida,Rhynchonellata,68,1
Neochonetes (Huangichonetes) geniculatus,Productida,Strophomenata,2.01,1
Neochonetes (Huangichonetes) geniculatus,Productida,Strophomenata,2.4,1
Paryphella orbicularis,Productida,Strophomenata,2.8,0
Spinomarginifera semicircridge,Productida,Strophomenata,2.8,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,2.84,1
Paryphella orbicularis,Productida,Strophomenata,3,0
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,3.08,1
Spinomarginifera semicircridge,Productida,Strophomenata,3.1,1
Paryphella orbicularis,Productida,Strophomenata,3.2,0
Quinquenella kuwaensis,Productida,Strophomenata,3.2,1
Quinquenella kuwaensis,Productida,Strophomenata,3.2,1
Spinomarginifera semicircridge,Productida,Strophomenata,3.2,1
Tethyochonetes longtanensis,Productida,Strophomenata,3.2,0
Neochonetes (Huangichonetes) cursothornia,Productida,Strophomenata,3.3,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,3.4,1
Quinquenella kuwaensis,Productida,Strophomenata,3.4,1
Spinomarginifera semicircridge,Productida,Strophomenata,3.5,1
Spinomarginifera semicircridge,Productida,Strophomenata,3.5,1
Spinomarginifera semicircridge,Productida,Strophomenata,3.7,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,3.75,1
Filiconcha auricula,Productida,Strophomenata,4,1
Quinquenella kuwaensis,Productida,Strophomenata,4,1
Falafer fusuiensis,Productida,Strophomenata,4.1,1
Neochonetes (Huangichonetes) geniculatus,Productida,Strophomenata,4.25,1
Neochonetes (Huangichonetes) cursothornia,Productida,Strophomenata,4.3,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,4.3,1
Paryphella orbicularis,Productida,Strophomenata,4.3,0
Spinomarginifera semicircridge,Productida,Strophomenata,4.3,1
Nisalaria inflata,Productida,Strophomenata,4.4,1
Nisalaria inflata,Productida,Strophomenata,4.4,1
Quinquenella kuwaensis,Productida,Strophomenata,4.4,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,4.49,1
Rugaria nisalensis,Productida,Strophomenata,4.5,1
Quinquenella kuwaensis,Productida,Strophomenata,4.8,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,4.84,1
Paryphella orbicularis,Productida,Strophomenata,4.9,0
Cathaysia sinuata,Productida,Strophomenata,5,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,5.19,1
Cathaysia sinuata,Productida,Strophomenata,5.2,1
Neochonetes (Huangichonetes) cursothornia,Productida,Strophomenata,5.2,1
Transennatia termierorum,Productida,Strophomenata,5.3,1
Quinquenella kuwaensis,Productida,Strophomenata,5.5,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,5.57,1
Neochonetes (Huangichonetes) cursothornia,Productida,Strophomenata,5.65,1
Falafer hunanensis,Productida,Strophomenata,5.7,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,5.8,1
Costatumulus dongpanensis,Productida,Strophomenata,5.9,1
Quinquenella glabra,Productida,Strophomenata,6,1
Rugaria nisalensis,Productida,Strophomenata,6,1
Rugaria nisalensis,Productida,Strophomenata,6,1
Rugaria nisalensis,Productida,Strophomenata,6,1
Streptorhynchus pendulus,Orthotetida,Strophomenata,6,1
Caricula salebrosa,Productida,Strophomenata,6.2,1
Cathaysia sinuata,Productida,Strophomenata,6.2,1
Quinquenella glabra,Productida,Strophomenata,6.2,1
Cathaysia sinuata,Productida,Strophomenata,6.3,1
Fanichonetes campigia,Productida,Strophomenata,6.3,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,6.4,1
Cathaysia sinuata,Productida,Strophomenata,6.5,1
Dongpanoproductus elegans,Productida,Strophomenata,6.5,1
Fanichonetes campigia,Productida,Strophomenata,6.5,1
Marginifera sexcostata,Productida,Strophomenata,6.5,1
Orthothetina ladina,Orthotetida,Strophomenata,6.5,1
Quinquenella glabra,Productida,Strophomenata,6.5,1
Tethyochonetes soochowensis,Productida,Strophomenata,6.5,1
Transennatia termierorum,Productida,Strophomenata,6.5,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,6.57,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,6.6,1
Transennatia termierorum,Productida,Strophomenata,6.6,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,6.65,1
Marginifera sexcostata,Productida,Strophomenata,6.7,1
Quinquenella kuwaensis,Productida,Strophomenata,6.7,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,6.83,1
Erismatina cooperi,Orthotetida,Strophomenata,7,1
Rugaria nisalensis,Productida,Strophomenata,7,1
Anidanthus mucronata,Productida,Strophomenata,7.2,1
Neochonetes (Huangichonetes) cursothornia,Productida,Strophomenata,7.2,1
Quinquenella glabra,Productida,Strophomenata,7.2,1
Tethyochonetes quadrata,Productida,Strophomenata,7.2,0
Costatumulus dongpanensis,Productida,Strophomenata,7.3,1
Lazarevonia arcuata,Productida,Strophomenata,7.4,1
Chonetella nasuta,Productida,Strophomenata,7.5,1
Fanichonetes campigia,Productida,Strophomenata,7.5,1
Marginalosia kalikotei,Productida,Strophomenata,7.5,1
Rugaria nisalensis,Productida,Strophomenata,7.5,1
Rugaria nisalensis,Productida,Strophomenata,7.5,1
Transennatia termierorum,Productida,Strophomenata,7.5,1
Waagenites aviculus,Productida,Strophomenata,7.5,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,7.54,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,7.54,1
Cathaysia sinuata,Productida,Strophomenata,7.6,1
Fanichonetes campigia,Productida,Strophomenata,7.6,1
Derbyia sulcata,Orthotetida,Strophomenata,7.7,1
Sulcirugaria transversa,Productida,Strophomenata,7.7,1
Transennatia termierorum,Productida,Strophomenata,7.7,1
Transennatia termierorum,Productida,Strophomenata,7.7,1
Anidanthus mucronata,Productida,Strophomenata,7.8,1
Anidanthus mucronata,Productida,Strophomenata,7.8,1
Haydenella tumida,Productida,Strophomenata,7.8,1
Cathaysia sinuata,Productida,Strophomenata,7.9,1
Anidanthus mucronata,Productida,Strophomenata,8,1
Rugaria nisalensis,Productida,Strophomenata,8,1
Rugaria nisalensis,Productida,Strophomenata,8,1
Rugaria nisalensis,Productida,Strophomenata,8,1
Spinomarginifera sulcata,Productida,Strophomenata,8,1
Streptorhynchus pendulus,Orthotetida,Strophomenata,8,1
Sulcirugaria transversa,Productida,Strophomenata,8,1
Anidanthus mucronata,Productida,Strophomenata,8.1,1
Caucasoproductus dichotomocostatus,Productida,Strophomenata,8.2,1
Dongpanoproductus elegans,Productida,Strophomenata,8.2,1
Fanichonetes campigia,Productida,Strophomenata,8.2,1
Lethamia collina,Productida,Strophomenata,8.2,1
Rugaria nisalensis,Productida,Strophomenata,8.2,1
Transennatia termierorum,Productida,Strophomenata,8.2,1
Anidanthus mucronata,Productida,Strophomenata,8.3,1
Anidanthus mucronata,Productida,Strophomenata,8.3,1
Transennatia termierorum,Productida,Strophomenata,8.3,1
Neochonetes (Zhongyingia) linshuiensis,Productida,Strophomenata,8.39,1
Anidanthus mucronata,Productida,Strophomenata,8.4,1
Marginalosia kalikotei,Productida,Strophomenata,8.5,1
Neorichthofenia mabutii,Productida,Strophomenata,8.5,1
Spinomarginifera plana,Productida,Strophomenata,8.5,1
Caucasoproductus dichotomocostatus,Productida,Strophomenata,8.6,1
Transennatia termierorum,Productida,Strophomenata,8.8,1
Lazarevonia arcuata,Productida,Strophomenata,9,1
Rugaria nisalensis,Productida,Strophomenata,9,1
Huatangia sulcatifera,Productida,Strophomenata,9.2,1
Marginifera elongata,Productida,Strophomenata,9.3,1
Ombonia tirolensis,Orthotetida,Strophomenata,9.3,1
Filiconcha auricula,Productida,Strophomenata,9.5,1
Lampangella lata,Productida,Strophomenata,9.5,0
Marginifera elongata,Productida,Strophomenata,9.5,1
Nambdoania papilionata,Productida,Strophomenata,9.5,1
Rugaria nisalensis,Productida,Strophomenata,9.5,1
Rugaria nisalensis,Productida,Strophomenata,9.5,1
Transennatia termierorum,Productida,Strophomenata,9.6,1
Fanichonetes campigia,Productida,Strophomenata,9.8,1
Costatumulus dongpanensis,Productida,Strophomenata,9.9,1
Dongpanoproductus elegans,Productida,Strophomenata,10,1
Echinalosia perforata,Productida,Strophomenata,10,1
Rugaria nisalensis,Productida,Strophomenata,10,1
Spinomarginifera sulcata,Productida,Strophomenata,10,1
Transennatia pitakpaivani,Productida,Strophomenata,10,1
Fanichonetes campigia,Productida,Strophomenata,10.1,1
Anidanthus mucronata,Productida,Strophomenata,10.4,1
Glyptosteges(?) percostatus,Productida,Strophomenata,10.5,1
Rugaria nisalensis,Productida,Strophomenata,10.5,1
Rugaria nisalensis,Productida,Strophomenata,10.5,1
Sulcirugaria subquadrata,Productida,Strophomenata,10.5,1
Anidanthus mucronata,Productida,Strophomenata,10.6,1
Capillomesolobus lissarensis,Productida,Strophomenata,10.6,1
Dongpanoproductus elegans,Productida,Strophomenata,10.7,1
Haydenella kiangsiensis,Productida,Strophomenata,10.7,1
Dongpanoproductus elegans,Productida,Strophomenata,10.8,1
Dongpanoproductus elegans,Productida,Strophomenata,10.8,1
Echinauriella jisuensiformis,Productida,Strophomenata,10.9,1
Lazarevonia arcuata,Productida,Strophomenata,11,1
Spinomarginifera plana,Productida,Strophomenata,11,1
Sulcirugaria subquadrata,Productida,Strophomenata,11,1
Anidanthus mucronata,Productida,Strophomenata,11.1,1
Dongpanoproductus elegans,Productida,Strophomenata,11.1,1
Haydenella tumida,Productida,Strophomenata,11.1,1
Anidanthus mucronata,Productida,Strophomenata,11.3,1
Orthothetina regularis,Orthotetida,Strophomenata,11.3,1
Chenxianoproductus nitens,Productida,Strophomenata,11.4,1
Cathaysia caucasica,Productida,Strophomenata,11.5,1
Erismatina cooperi,Orthotetida,Strophomenata,11.5,1
Filiconcha auricula,Productida,Strophomenata,11.5,1
Costatumulus dongpanensis,Productida,Strophomenata,11.9,1
Capillomesolobus lissarensis,Productida,Strophomenata,12,1
Dongpanoproductus elegans,Productida,Strophomenata,12,1
Lazarevonia arcuata,Productida,Strophomenata,12,1
Lazarevonia arcuata,Productida,Strophomenata,12,1
Lissochonetes bipartita,Productida,Strophomenata,12,1
Rugaria nisalensis,Productida,Strophomenata,12,1
Sulcirugaria subquadrata,Productida,Strophomenata,12,1
Sulcirugaria subquadrata,Productida,Strophomenata,12,1
Transennatia pitakpaivani,Productida,Strophomenata,12,1
Anidanthus mucronata,Productida,Strophomenata,12.1,1
Nikitinia licharewi,Productida,Strophomenata,12.1,1
Costatumulus dongpanensis,Productida,Strophomenata,12.2,1
Neorichthofenia mabutii,Productida,Strophomenata,12.2,1
Ombonia tirolensis,Orthotetida,Strophomenata,12.2,1
Orthothetina ladina,Orthotetida,Strophomenata,12.4,1
Coolkilella polliciformis,Productida,Strophomenata,12.5,1
Lazarevonia arcuata,Productida,Strophomenata,12.5,1
Orthothetina ladina,Orthotetida,Strophomenata,12.5,1
Sulcirugaria subquadrata,Productida,Strophomenata,12.5,1
Chenxianoproductus nitens,Productida,Strophomenata,12.6,1
Cathaysia caucasica,Productida,Strophomenata,12.7,1
Incisius huatangensis,Productida,Strophomenata,12.7,1
Ombonia tirolensis,Orthotetida,Strophomenata,12.7,1
Cathaysia beifengjingensis,Productida,Strophomenata,12.8,1
Cathaysia beifengjingensis,Productida,Strophomenata,13,1
Lethamia collina,Productida,Strophomenata,13,1
Strophalosia gerardi,Productida,Strophomenata,13,1
Tectarea robinsoni,Productida,Strophomenata,13,1
Huatangia sulcatifera,Productida,Strophomenata,13.1,1
Capillomesolobus lissarensis,Productida,Strophomenata,13.3,1
Lazarevonia arcuata,Productida,Strophomenata,13.3,1
Chonetinella unisulcata,Productida,Strophomenata,13.4,1
Spinomarginifera helica,Productida,Strophomenata,13.4,1
Filiconcha auricula,Productida,Strophomenata,13.5,1
Filiconcha auricula,Productida,Strophomenata,13.5,1
Filiconcha auricula,Productida,Strophomenata,13.5,1
Lazarevonia arcuata,Productida,Strophomenata,13.5,1
Lazarevonia arcuata,Productida,Strophomenata,13.5,1
Lazarevonia arcuata,Productida,Strophomenata,13.5,1
Lethamia collina,Productida,Strophomenata,13.5,1
Megasteges nepalensis,Productida,Strophomenata,13.5,1
Neorichthofenia mabutii,Productida,Strophomenata,13.5,1
Nikitinia licharewi,Productida,Strophomenata,13.5,1
Anidanthus mucronata,Productida,Strophomenata,13.6,1
Anidanthus sinosus,Productida,Strophomenata,13.6,1
Spinomarginifera chengyaoyenensis,Productida,Strophomenata,13.6,1
Paryphella orbicularis,Productida,Strophomenata,13.8,0
Anidanthus mucronata,Productida,Strophomenata,13.9,1
Chonetinella unisulcata,Productida,Strophomenata,13.9,1
Caucasoproductus dichotomocostatus,Productida,Strophomenata,14,1
Spinomarginifera plana,Productida,Strophomenata,14,1
Cancrinella cancriniformis,Productida,Strophomenata,14.2,1
Dongpanoproductus elegans,Productida,Strophomenata,14.2,1
